group,pairIndex,randomSeed,amplitudeCurl,curlMultiplier,pivotDepth,forwardGain,verticalAngleRatio,propagationDirectionDeg,frontFaceAngleDeg,epsilonFront,epsilonRear,asymmetry,angleInReference,frontSteeper,valid,errorMessage
G1 Shallow-curl,23,1331747554,0.191935573943527,0.565196622639691,1.02213976742848,1.23222516221004,0.286996597751063,180,2.81666473674623,0.110403850212086,0.0396495523150211,2.78449172224978,0,1,1,
G1 Shallow-curl,24,1394189554,0.216400742570855,0.634904373828028,0.946109162186209,1.20098920494364,0.228037974248167,0,11.672742028607,0.103418280743248,0.0422456152531796,2.44802401677566,0,1,1,
G1 Shallow-curl,25,884821581,0.225888990341838,0.646969370884047,0.884435072209699,1.01512717829621,0.204547413405111,0,16.8958968247908,0.0650551632524196,0.0229055050937746,2.84015405842767,0,1,1,
G1 Shallow-curl,26,549602779,0.175363502731163,0.459798635538088,0.898253104941629,1.27815925130881,0.320108793197895,180,5.43991394542716,0.0391918251393291,0.020596282571003,1.90285916908648,0,1,1,
G1 Shallow-curl,27,12060526,0.212524678130852,0.484865360166468,0.863886714759517,1.27585903856722,0.226092944022843,0,16.4453108912262,0.0872483507576281,0.0405732441128887,2.1503912902521,0,1,1,
G1 Shallow-curl,28,425148108,0.181950010668103,0.562706954040902,0.807892524510038,1.09616505512719,0.227174396274961,180,7.18496478546108,0.0520521741617822,0.0263520164697322,1.97526341946428,0,1,1,
G1 Shallow-curl,29,1999752097,0.194611867984005,0.608702438122482,0.854450239546521,1.24583297753412,0.354516975879366,0,2.20818192297818,0.0662032649771414,0.0270903332361,2.44379662664764,0,1,1,
G1 Shallow-curl,30,1016806304,0.213722996488866,0.467291751975822,1.05319213202794,1.29103093022139,0.291665559461173,180,22.368497031802,0.133617888054878,0.0567138293378426,2.35600187141164,0,1,1,
G1 Shallow-curl,31,1448454965,0.197861168421612,0.627113936167379,0.918579925167047,1.05752140502477,0.210222592357888,0,15.0378997129785,0.0807415895651041,0.0385855138021993,2.09253633316921,0,1,1,
G1 Shallow-curl,32,1290314117,0.191614621068147,0.476441106863471,0.810452054693419,1.08187276790627,0.360437742103341,0,4.38401180399516,0.0516646734392247,0.0212036158315313,2.43659731668953,0,1,1,
G1 Shallow-curl,33,1359170167,0.207442645307626,0.595689755497087,1.08198308066332,1.24566564624967,0.399985039157193,0,5.95958826863168,0.10747423810238,0.071743195379324,1.49804085996083,0,1,1,
G1 Shallow-curl,34,1166819772,0.182488306793305,0.64553426252955,1.07233313084753,1.18352681926927,0.231292077864938,180,3.0752367164499,0.216419125330436,0.0575841478041279,3.75831081266643,0,1,1,
G1 Shallow-curl,35,351892640,0.229721876978531,0.61936340023713,0.854136732754117,1.07454851982352,0.350191722411083,180,4.96708870918447,0.106879230969289,0.0388324532763081,2.75231724889492,0,1,1,
G1 Shallow-curl,36,155695166,0.208990329196935,0.601823236850624,0.907877741831908,1.02114427353792,0.20414980114915,180,9.66282287324392,0.0626715660045269,0.025626741686486,2.44555342896269,0,1,1,
G1 Shallow-curl,37,615352048,0.191790049008958,0.618683715958777,1.09988824352331,1.14597443376416,0.314932221962637,0,5.93197465844964,0.0603013395312563,0.0280282878790671,2.15144570340639,0,1,1,
G1 Shallow-curl,38,300732193,0.222507819384367,0.538243778151915,0.892985076971769,1.22363227493493,0.237141685783891,0,14.7070418265488,0.071910364142307,0.0336130462522011,2.13935873597288,0,1,1,
